date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2010-09-13,13402360.440000001,51544,535.6025999999999,95.663517,743.2881,10151.6271,19740.335,48.834471428571426,140.09185714285715,92.37012857142858,232.73375714285717,872.7922,106.1,98.7,103.5,361.62,37062
2010-09-20,16489872.0,51248,492.84749999999997,93.307314,680.2324,9805.276600000001,20343.669,14.719785714285715,144.82142857142858,86.20129999999999,239.7078,799.3766428571428,106.1,98.7,103.5,361.62,45600
2010-09-27,11667669.3,52646,471.6371,94.80097599999999,655.5328,10021.6977,23377.048,30.17674285714285,315.458,112.70781428571429,264.75325714285714,1005.4870142857143,106.1,98.7,103.5,361.62,32265
2010-10-04,12798816.66,55285,406.5827,92.182398,563.1299,9614.9264,15980.095,42.47531428571428,248.94085714285714,132.14934285714284,244.4090857142857,1848.8765999999998,105.5,98.7,103.5,361.62,35393
2010-10-11,14927673.6,48545,435.0659,92.661127,573.6852,9704.9755,29554.096,25.952057142857143,650.8472857142857,113.03895714285714,255.06492857142857,1009.487,105.5,98.7,103.5,361.62,41280
2010-10-18,14151637.08,46908,430.5247,93.332251,551.1036,9702.6677,30472.81,24.60925714285714,869.0598571428571,98.94805714285714,223.6623285714286,836.5324428571429,105.5,98.7,103.5,361.62,39134
2010-10-25,16051950.18,44762,407.9517,90.700272,547.9607,9424.1657,29701.904,4.8040142857142865,1295.5547142857142,105.35064285714286,257.18181428571427,1035.7207714285714,105.5,98.7,103.5,361.62,44389
2010-11-01,13762895.58,46294,375.4389,88.373952,535.4954,9224.2412,24669.763000000003,55.69597142857143,1110.4778571428571,257.4350857142857,251.40259999999998,1849.4934857142857,104.2,98.7,103.5,361.62,38059
2010-11-08,25592932.259999998,68353,293.0578,74.133184,555.9147,7786.5719,29005.429,49.96675714285714,1224.1098571428572,249.8181857142857,262.4870142857143,1153.9220857142857,104.2,98.7,103.5,361.62,70773
2010-11-15,39008672.64,99701,309.2639,75.829696,564.7023,7904.7563,27517.7,46.45975714285714,945.8368428571429,234.65987142857145,444.9552714285714,1892.0779285714286,104.2,98.7,103.5,361.62,107872
2010-11-22,24434301.78,89358,298.8041,77.05031199999999,555.4565,7968.8598999999995,17826.111,31.134457142857144,534.6062,134.10727142857144,385.5728571428572,1099.149357142857,104.2,98.7,103.5,361.62,67569
2010-11-29,16692379.2,66363,280.6945,78.83826499999999,518.8251,8115.5549,21659.584000000003,22.857685714285715,85.50201428571428,154.5202,348.76984285714286,1266.454542857143,104.2,98.7,103.5,361.62,46160
2010-12-06,17292668.4,41468,529.0709,93.928713,746.9475,9864.1794,4809.617,11.326771428571428,102.74314285714286,99.0974142857143,286.73377142857146,783.8311571428573,104.1,98.7,103.5,361.62,47820
2010-12-13,17498791.8,34716,535.1610000000001,92.162628,712.3102,9668.7861,4402.952,24.706942857142856,99.93285714285715,119.32467142857142,300.7986857142857,817.9025857142858,104.1,98.7,103.5,361.62,48390
2010-12-20,17517957.66,41660,485.0067,92.759851,694.6049,9789.7955,18187.048,30.138585714285714,134.76642857142858,111.64934285714286,277.7857,933.0454714285714,104.1,98.7,102.7,361.62,48443
2010-12-27,36079912.26,103789,522.6467,93.544944,707.6743,9890.277900000001,24288.142,27.44807142857143,114.39685714285714,121.5973857142857,281.24674285714286,990.7142857142857,104.1,98.7,102.7,361.62,99773
